Game,Copies sold (million),Release date[a],Genre(s),Developer(s),Publisher(s),Row Labels,Sum of Copies sold (million),,,,,,,,,,,,,,,
Marvel's Spider-Man,20.00,7-Sep-18,Action-adventure,Insomniac Games,Sony Interactive Entertainment,Action role-playing,43.8,,,,,,,,,,,,,,,
God of War,19.50,20-Apr-18,Action-adventure hack and slash,Santa Monica Studio,Sony Interactive Entertainment,Action-adventure,44.02,,,,,,,,,,,,,,,
Uncharted 4: A Thief's End,16.00,10-May-16,Action-adventure,Naughty Dog,Sony Interactive Entertainment,Action-adventure hack and slash,19.5,,,,,,,,,,,,,,,
The Witcher 3: Wild Hunt,10.80,18-May-15,Action role-playing,CD Projekt Red,CD Projekt,Action-adventure stealth,10.83,,,,,,,,,,,,,,,
The Last of Us Remastered,10.00,29-Jul-14,Action-adventure survival horror,Naughty Dog,Sony Computer Entertainment,Action-adventure survival horror,20,,,,,,,,,,,,,,,
Horizon Zero Dawn,10.00,28-Feb-17,Action role-playing,Guerrilla Games,Sony Interactive Entertainment,Adventure,5.5,,,,,,,,,,,,,,,
The Last of Us Part II,10.00,19-Jun-20,Action-adventure survival horror,Naughty Dog,Sony Interactive Entertainment,First-person shooter,3.4,,,,,,,,,,,,,,,
Ghost of Tsushima,9.73,17-Jul-20,Action-adventure stealth,Sucker Punch Productions,Sony Interactive Entertainment,First-person shooter third-person shooter,8.42,,,,,,,,,,,,,,,
Star Wars Battlefront,8.42,17-Nov-15,First-person shooter third-person shooter,EA DICE,Electronic Arts,Platform,2.5,,,,,,,,,,,,,,,
Gran Turismo Sport,8.00,17-Oct-17,Racing,Polyphony Digital,Sony Interactive Entertainment,Platform beat 'em up,2,,,,,,,,,,,,,,,
Infamous Second Son,6.00,21-Mar-14,Action-adventure,Sucker Punch Productions,Sony Computer Entertainment,Racing,10,,,,,,,,,,,,,,,
Detroit: Become Human,5.50,25-May-18,Adventure,Quantic Dream,Sony Interactive Entertainment,Role-playing,2.3,,,,,,,,,,,,,,,
Final Fantasy VII Remake,5.00,10-Apr-20,Action role-playing,Square Enix,Square Enix,Role-playing social simulation,2.3,,,,,,,,,,,,,,,
Monster Hunter: World,4.67,26-Jan-18,Action role-playing,Capcom,Capcom,Sandbox survival,2,,,,,,,,,,,,,,,
Cyberpunk 2077,3.83,10-Dec-20,Action role-playing,CD Projekt Red,CD Projekt,Sports,3.12,,,,,,,,,,,,,,,
FIFA 17,3.12,27-Sep-16,Sports,EA Canada EA Bucharest,EA Sports,Grand Total,179.69,,,,,,,,,,,,,,,
Crash Bandicoot N. Sane Trilogy,2.50,30-Jun-17,Platform,Vicarious Visions,Activision,,,,,,,,,,,,,,,,,
Final Fantasy XV,2.50,29-Nov-16,Action role-playing,Square Enix Business Division 2,Square Enix,Count of Genre(s),Column Labels,,,,,,,,,,,,,,,
Persona 5 Royal,2.30,31-Oct-19,Role-playing social simulation,P-Studio,Atlus,Row Labels,Action role-playing,Action-adventure,Action-adventure hack and slash,Action-adventure stealth,Action-adventure survival horror,Adventure,First-person shooter,First-person shooter third-person shooter,Platform,Platform beat 'em up,Racing,Role-playing,Role-playing social simulation,Sandbox survival,Sports,Grand Total
Killzone: Shadow Fall,2.10,15-Nov-13,First-person shooter,Guerrilla Games,Sony Computer Entertainment,4J Studios,,,,,,,,,,,,,,1,,1
Grand Theft Auto V,2.02,18-Nov-14,Action-adventure,Rockstar North,Rockstar Games,Capcom,1,,,,,,,,,,,,,,,1
Bloodborne,2.00,24-Mar-15,Action role-playing,FromSoftware,Sony Computer Entertainment,CD Projekt Red,2,,,,,,,,,,,,,,,2
Driveclub,2.00,7-Oct-14,Racing,Evolution Studios,Sony Computer Entertainment,EA Canada EA Bucharest,,,,,,,,,,,,,,,1,1
Knack,2.00,15-Nov-13,Platform beat 'em up,Japan Studio,Sony Computer Entertainment,EA DICE,,,,,,,1,1,,,,,,,,2
Minecraft: PlayStation 4 Edition,2.00,4-Sep-14,Sandbox survival,4J Studios,Sony Computer Entertainment,Evolution Studios,,,,,,,,,,,1,,,,,1
Nier: Automata,1.60,23-Feb-17,Action role-playing,PlatinumGames,Square Enix,FromSoftware,1,,,,,,,,,,,,,,,1
Nioh 2,1.40,12-Mar-20,Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo,Guerrilla Games,1,,,,,,1,,,,,,,,,2
Battlefield 1,1.30,21-Oct-16,First-person shooter,EA DICE,Electronic Arts,Insomniac Games,,1,,,,,,,,,,,,,,1
Dragon Quest XI: Echoes of an Elusive Age,1.30,29-Jul-17,Role-playing,Square Enix,Square Enix,Japan Studio,,,,,,,,,,1,,,,,,1
Metal Gear Solid V: The Phantom Pain,1.10,1-Sep-15,Action-adventure stealth,Kojima Productions,Konami,Kojima Productions,,,,1,,,,,,,,,,,,1
Final Fantasy XII: The Zodiac Age,1.00,11-Jul-17,Role-playing,Square Enix,Square Enix,Naughty Dog,,1,,,2,,,,,,,,,,,3
Kingdom Hearts III,1.00,25-Jan-19,Action role-playing,Square Enix,Square Enix,PlatinumGames,1,,,,,,,,,,,,,,,1
Nioh,1.00,7-Feb-17,Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo,Polyphony Digital,,,,,,,,,,,1,,,,,1
,,,,,,P-Studio,,,,,,,,,,,,,1,,,1
,,,,,,Quantic Dream,,,,,,1,,,,,,,,,,1
,,,,,,Rockstar North,,1,,,,,,,,,,,,,,1
,,,,,,Santa Monica Studio,,,1,,,,,,,,,,,,,1
,,,,,,Square Enix,2,,,,,,,,,,,2,,,,4
,,,,,,Square Enix Business Division 2,1,,,,,,,,,,,,,,,1
,,,,,,Sucker Punch Productions,,1,,1,,,,,,,,,,,,2
,,,,,,Team Ninja,2,,,,,,,,,,,,,,,2
,,,,,,Vicarious Visions,,,,,,,,,1,,,,,,,1
,,,,,,Grand Total,11,4,1,2,2,1,2,1,1,1,2,2,1,1,1,33
